,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5702,59,2,3,3,n,4,1,n,0,10
5716,48,2,1,1,n,1,2,n,1,3
5738,47,2,3,2,n,2,0,n,1,6
5744,37,2,0,2,n,0,1,n,4,2
5766,40,3,2,2,n,2,0,n,1,6
5780,52,0,0,2,n,1,0,n,2,4
5800,40,3,1,1,n,0,0,n,1,4
5813,41,0,0,2,n,1,1,n,2,6
5821,57,2,6,1,n,5,0,n,1,7
5870,39,1,2,2,n,3,0,n,2,11
5884,32,1,2,0,n,3,1,n,5,6
5898,47,4,2,1,n,1,1,n,3,4
5905,51,3,4,2,n,4,1,n,1,6
5919,42,1,0,1,n,1,3,n,1,8
5939,36,2,3,1,n,3,0,n,1,10
5954,56,1,2,0,n,3,0,n,0,8
5975,37,1,6,1,n,2,1,n,3,8
