,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5702,49,1,4,0,n,1,1,n,2,9
5716,39,1,4,3,n,3,1,n,0,9
5737,47,1,3,2,n,2,0,n,2,10
5743,42,4,3,1,n,3,1,n,2,9
5766,47,2,2,1,n,0,3,n,3,3
5779,45,1,2,0,n,2,1,n,2,8
5786,46,1,7,0,n,2,1,n,3,6
5807,53,3,1,2,n,2,0,n,0,7
5821,41,3,1,2,n,3,5,n,1,7
5870,41,2,0,0,n,1,1,n,3,10
5884,44,0,0,2,n,1,0,n,3,12
5898,52,0,3,3,n,1,1,n,1,4
5905,44,4,2,2,n,0,2,n,1,9
5919,41,1,1,0,n,1,0,n,0,11
5947,55,1,1,1,n,1,0,n,1,11
5961,47,3,2,1,n,1,0,n,0,8
5975,54,2,6,1,n,2,1,n,0,6
