,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5702,48,2,3,4,n,5,1,n,1,6
5715,40,1,2,3,n,2,0,n,2,5
5738,53,3,1,1,n,3,1,n,4,7
5744,54,3,2,1,n,3,1,n,2,5
5773,36,1,3,1,n,3,0,n,3,9
5787,39,1,2,0,n,0,1,n,0,10
5808,45,2,0,1,n,2,0,n,4,7
5822,58,3,4,2,n,3,1,n,2,5
5870,61,1,2,0,n,3,2,n,0,7
5883,55,1,5,1,n,4,1,n,1,2
5899,51,1,2,0,n,2,0,n,3,6
5905,58,3,5,3,n,5,0,n,4,5
5911,50,1,2,3,n,2,2,n,2,7
5933,55,1,4,0,n,3,3,n,0,10
5947,33,1,1,1,n,1,2,n,1,3
5961,56,4,1,0,n,1,0,n,1,6
5975,51,4,2,0,n,2,2,n,0,7
