,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5709,49,3,3,4,n,5,1,n,2,11
5730,46,2,2,2,n,3,1,n,0,12
5741,44,5,4,0,n,1,4,n,1,9
5751,51,2,3,1,n,0,2,n,1,11
5772,42,1,2,0,n,2,3,n,1,3
5786,31,0,3,0,n,3,0,n,7,5
5808,34,3,1,4,n,4,2,n,2,6
5820,43,2,2,2,n,1,2,n,2,4
5863,53,4,2,2,n,3,3,n,0,5
5877,48,6,3,2,n,5,1,n,2,10
5892,53,3,1,3,n,7,1,n,2,9
5902,39,1,2,1,n,1,0,n,2,8
5912,52,4,2,1,n,4,0,n,3,8
5933,58,3,4,0,n,1,1,n,1,8
5947,42,3,1,2,n,4,1,n,1,2
5963,53,3,4,0,n,2,1,n,0,7
5975,44,1,2,1,n,2,2,n,2,2
