,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5709,68,0,2,1,n,1,0,n,1,7
5730,62,0,4,2,n,0,1,n,0,12
5740,42,2,1,0,n,1,0,n,3,6
5751,50,2,2,0,n,0,1,n,1,8
5772,71,1,5,3,n,2,1,n,1,10
5786,66,0,4,1,n,1,2,n,2,11
5808,60,2,4,2,n,2,0,n,2,6
5828,67,4,3,1,n,0,1,n,2,2
5864,56,4,4,0,n,2,1,n,1,7
5877,54,2,3,1,n,2,0,n,0,6
5891,50,1,2,0,n,1,0,n,2,4
5901,65,3,5,3,n,4,0,n,1,5
5912,57,5,0,1,n,1,1,n,0,8
5932,52,1,1,2,n,1,0,n,1,7
5947,57,1,1,2,n,1,2,n,4,9
5961,42,2,1,1,n,4,0,n,0,8
5968,50,1,1,0,n,2,3,n,0,5
