,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5702,59,5,4,2,N,3,1,N,1,8
5730,68,1,3,1,N,5,1,N,2,9
5741,64,3,7,3,N,8,3,N,0,7
5752,61,3,2,3,N,4,0,N,-1,8
5772,58,1,5,0,N,2,5,N,1,8
5786,55,4,1,2,N,4,1,N,2,11
5808,55,4,3,4,N,3,2,N,2,3
5821,53,2,3,0,N,3,1,N,2,4
5870,61,3,5,1,N,3,3,N,1,3
5877,38,1,0,0,N,3,4,N,0,13
5892,51,2,0,2,N,2,2,N,0,11
5902,59,0,3,3,N,6,2,N,0,7
5913,46,2,4,1,N,4,1,N,2,8
5932,48,2,2,2,N,2,3,N,1,4
5947,64,3,2,0,N,2,4,N,2,7
5961,55,5,3,2,N,2,1,N,0,6
5975,46,2,1,0,N,0,2,N,1,7
