,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5701,73,2,6,1,N,4,1,N,1,5
5716,60,2,2,0,N,3,0,N,1,7
5730,71,1,3,3,N,4,1,N,0,5
5740,58,3,2,0,N,3,1,N,1,7
5752,55,3,2,0,N,3,1,N,0,6
5772,72,5,1,6,N,7,1,N,1,3
5786,69,11,7,5,N,6,1,N,0,2
5807,67,7,8,3,N,7,3,N,0,5
5821,59,1,1,2,N,2,2,N,3,8
5871,70,4,4,2,N,5,1,N,1,8
5891,70,7,6,3,N,7,2,N,2,6
5902,73,3,3,1,N,8,1,N,1,3
5912,77,6,2,2,N,7,0,N,1,1
5933,61,5,5,0,N,3,4,N,0,9
5947,67,1,2,1,N,2,1,N,1,7
5961,51,2,0,2,N,3,1,N,1,5
5975,63,5,4,1,N,4,4,N,1,7
