,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5702,41,1,1,1,N,3,0,N,2,10
5716,37,0,1,2,N,1,2,N,0,8
5737,26,2,1,1,N,1,4,N,2,5
5740,48,3,4,0,N,2,1,N,3,9
5750,37,2,2,0,N,0,0,N,1,6
5772,29,1,1,0,N,3,1,N,1,3
5786,40,1,4,1,N,1,1,N,1,9
5806,43,0,5,0,N,2,1,N,2,7
5821,37,1,3,1,N,1,3,N,0,7
5870,39,0,0,0,N,1,1,N,0,6
5884,41,4,4,0,N,0,2,N,1,8
5902,34,0,1,0,N,1,2,N,3,3
5912,41,6,2,0,N,1,1,N,0,6
5933,42,2,4,2,N,3,1,N,1,6
5947,45,1,1,1,N,1,1,N,1,8
5961,42,3,1,1,N,2,0,N,1,5
5975,32,0,2,1,N,3,3,N,1,6
