,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5709,72,2,4,5,N,5,2,N,2,8
5731,59,4,5,5,N,4,2,N,1,8
5741,53,4,3,2,N,4,0,N,1,4
5752,58,5,4,1,N,0,1,N,1,6
5765,55,2,4,0,N,3,0,N,1,10
5779,55,2,6,1,N,1,2,N,0,9
5800,31,1,1,1,N,1,1,N,2,5
5813,59,2,7,6,N,5,1,N,0,4
5827,55,2,4,1,N,2,1,N,1,6
5864,58,2,6,3,N,3,2,N,0,8
5877,46,2,6,5,N,4,2,N,2,6
5892,47,3,4,1,N,2,2,N,3,7
5902,61,5,2,5,N,3,3,N,1,5
5918,44,2,2,1,N,2,0,N,4,5
5941,54,0,4,0,N,0,0,N,1,11
5954,53,6,2,1,N,2,2,N,0,7
5968,64,2,5,5,N,5,0,N,1,2
