,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5703,53,2,4,6,N,5,2,N,1,8
5716,52,2,4,3,N,3,1,N,0,10
5738,47,4,7,2,N,2,1,N,3,5
5744,44,2,3,2,N,2,1,N,1,9
5766,53,3,4,2,N,3,4,N,2,7
5780,61,0,7,2,N,5,1,N,1,11
5800,53,2,6,3,N,4,1,N,0,4
5815,56,3,2,3,N,1,0,N,0,6
5828,33,4,2,0,N,1,2,N,3,4
5870,43,1,4,0,N,3,2,N,0,5
5884,52,1,3,1,N,4,1,N,1,4
5898,53,4,3,2,N,8,0,N,3,7
5905,42,7,4,2,N,6,2,N,1,8
5920,51,2,4,0,N,2,0,N,4,9
5940,25,1,3,2,N,4,2,N,0,3
5954,42,0,3,3,N,2,0,N,4,7
5968,50,1,2,2,N,2,1,N,3,6
