,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5716,45,2,5,1,7,4,2,n,1,9
5737,55,0,0,1,17,1,0,n,1,9
5746,54,1,2,2,15,1,1,n,1,7
5765,46,2,3,1,10,1,2,n,3,5
5777,48,3,2,5,14,2,1,n,1,7
5781,50,4,3,1,14,2,1,n,1,7
5801,39,4,3,2,14,1,2,n,1,9
5815,45,3,2,2,11,0,1,n,4,5
5828,54,3,4,4,4,6,1,n,0,6
5850,51,2,3,0,10,1,0,n,3,10
5857,65,1,2,1,13,4,1,n,2,8
5871,38,1,0,0,8,0,0,n,1,7
5878,57,3,2,1,9,2,1,n,2,4
5892,57,3,3,1,9,4,0,n,2,7
5906,45,0,0,0,10,0,0,n,3,9
5933,54,1,3,1,16,3,0,n,3,7
5948,50,1,0,2,7,1,0,n,1,4
5956,57,1,1,1,14,1,1,n,1,6
5968,56,2,3,1,6,4,0,n,3,6
