,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5717,55,1,4,2,3,4,1,n,1,8
5738,37,0,2,0,6,0,1,n,3,5
5745,62,0,4,1,9,3,1,n,0,6
5766,52,1,4,0,7,4,1,n,1,8
5776,53,2,2,1,8,4,2,n,1,10
5787,46,1,2,0,9,1,3,n,0,7
5808,52,3,2,3,9,2,2,n,0,8
5829,37,1,2,1,7,2,0,n,1,9
5849,37,3,1,0,9,2,2,n,1,14
5857,62,0,2,1,9,3,1,n,0,6
5871,56,1,2,2,9,2,1,n,0,9
5877,47,1,1,2,7,6,0,n,0,7
5892,61,1,4,0,5,3,0,n,0,6
5906,60,1,2,0,8,1,0,n,1,9
5920,51,2,1,3,3,3,3,n,0,10
5941,75,6,1,1,10,3,0,n,0,6
5951,55,1,3,2,2,1,0,n,5,7
5955,56,3,3,3,4,5,0,n,2,3
5969,53,4,3,4,10,4,1,n,3,7
