,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5710,46,2,1,2,5,0,2,n,4,15
5731,50,2,5,3,6,4,3,n,0,5
5741,69,1,2,2,10,3,0,n,0,5
5752,52,1,1,2,5,1,4,n,0,2
5773,66,1,5,3,11,4,1,n,0,5
5780,56,2,2,1,9,4,2,n,0,9
5801,74,3,4,1,8,2,2,n,0,3
5815,72,3,1,1,10,4,2,n,1,5
5829,57,1,5,1,7,2,2,n,3,6
5850,77,4,3,5,8,5,0,n,1,6
5864,53,4,5,2,11,1,1,n,1,10
5874,59,4,1,0,7,2,3,n,0,5
5884,55,0,1,1,5,2,1,n,2,7
5900,49,2,0,0,5,1,2,n,0,5
5913,76,2,2,2,4,6,5,n,1,2
5934,65,1,4,0,11,3,1,n,2,8
5947,67,2,1,2,10,2,2,n,1,4
5956,47,2,1,0,4,0,3,n,1,7
5969,71,6,4,2,9,2,1,n,1,3
