,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5710,36,0,1,0,8,1,0,n,3,9
5731,41,1,0,0,9,2,1,n,1,7
5745,52,0,2,2,7,2,2,n,1,7
5766,52,2,2,2,6,7,2,n,0,6
5776,36,0,1,1,6,2,2,n,2,4
5787,38,1,2,0,9,1,4,n,1,5
5808,59,2,2,0,13,4,3,n,4,5
5815,38,0,3,0,8,1,3,n,2,7
5829,62,4,1,1,7,6,1,n,1,9
5849,51,1,1,0,5,1,1,n,3,4
5864,54,0,5,0,4,2,1,n,1,4
5874,29,2,1,0,6,1,3,n,1,12
5878,41,3,1,1,10,0,2,n,1,7
5892,34,1,2,0,7,1,0,n,2,6
5906,63,2,2,0,11,3,0,n,0,0
5920,43,3,2,0,9,2,2,n,0,9
5941,45,0,4,2,4,3,2,n,2,7
5954,31,1,3,1,4,3,1,n,3,6
5969,27,2,1,0,4,0,0,n,1,12
