,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5710,65,3,5,1,6,4,2,N,0,9
5731,64,2,3,4,12,4,3,N,2,9
5741,62,2,2,8,6,7,0,N,0,6
5745,46,1,2,0,9,2,4,N,1,8
5766,55,1,2,2,7,3,0,N,1,8
5779,43,2,3,1,6,1,1,N,2,1
5801,66,4,3,4,10,3,0,N,3,7
5814,68,3,3,5,5,3,2,N,0,5
5829,63,1,1,2,9,2,1,N,0,7
5850,56,1,6,0,11,1,1,N,3,9
5864,76,3,4,4,10,4,1,N,3,4
5874,71,4,8,4,13,7,1,N,0,7
5891,44,1,2,0,6,4,0,N,1,6
5906,64,3,2,0,5,3,1,N,2,8
5912,64,1,5,6,6,8,1,N,0,6
5934,68,1,3,3,7,4,0,N,0,7
5947,33,3,1,1,6,0,0,N,2,10
5954,69,4,2,3,7,5,1,N,0,2
5968,44,5,2,3,6,3,2,N,1,4
