,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5717,53,3,7,2,6,2,0,N,0,6
5738,63,5,3,3,6,7,1,N,0,5
5744,53,2,5,0,9,1,0,N,1,6
5766,47,2,0,0,9,2,2,N,1,8
5776,75,5,4,2,2,5,1,N,0,7
5787,62,1,3,2,9,4,2,N,1,7
5809,60,1,2,2,3,2,2,N,0,5
5822,61,0,3,1,6,3,2,N,0,6
5846,61,6,4,0,8,5,0,N,2,5
5856,69,5,2,2,9,3,3,N,2,4
5871,62,3,8,3,7,3,1,N,0,7
5878,77,2,8,2,6,4,1,N,0,3
5893,69,2,6,3,7,5,0,N,0,4
5905,74,7,5,3,7,5,2,N,1,3
5920,72,4,1,3,5,7,4,N,0,5
5941,62,5,6,3,8,4,2,N,0,1
5950,62,8,2,2,8,6,1,N,0,5
5963,53,5,2,0,7,3,2,N,0,3
5975,79,6,5,8,5,9,3,N,1,4
