,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
5709,36,3,3,1,5,2,3,N,2,7
5731,63,1,4,1,12,2,2,N,1,8
5745,38,1,2,1,9,1,0,N,0,9
5766,48,1,1,1,7,5,1,N,2,5
5776,38,1,0,0,8,3,5,N,0,8
5786,54,2,1,2,4,3,2,N,0,6
5801,26,0,0,0,5,2,2,N,3,6
5815,55,4,3,1,6,7,1,N,3,10
5829,43,1,1,1,8,2,0,N,1,7
5850,56,4,7,2,13,4,0,N,0,8
5864,36,3,2,1,11,1,0,N,0,9
5874,47,2,2,0,12,6,1,N,1,8
5878,24,2,0,1,5,4,0,N,1,11
5891,43,4,7,2,12,6,1,N,0,4
5905,37,2,1,1,10,2,2,N,4,4
5920,58,1,0,1,8,2,0,N,1,10
5948,53,1,6,1,8,1,1,N,0,10
5956,37,5,2,5,11,7,1,N,2,7
5969,43,2,2,1,12,0,1,N,0,6
