,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6066,59,1,1,2,9,1,0,n,4,8
6094,60,2,1,3,8,2,0,n,1,10
6108,59,4,2,3,6,5,3,n,0,5
6129,77,5,1,4,7,4,2,n,2,1
6136,57,1,3,3,6,2,3,n,1,10
6151,59,0,3,0,11,0,0,n,0,6
6171,52,4,5,1,8,3,2,n,2,9
6186,59,2,2,3,8,4,0,n,3,5
6203,66,1,4,3,3,6,0,n,0,7
6206,64,4,7,2,8,2,1,n,0,2
6226,48,0,1,1,5,2,3,n,4,3
6236,67,1,0,0,6,4,2,n,1,9
6247,46,2,3,0,5,2,0,n,6,5
6296,60,2,2,2,7,4,0,n,1,3
6300,75,1,2,2,4,2,2,n,0,2
6321,67,1,3,4,5,2,0,n,1,10
6330,69,3,3,1,8,3,0,n,2,3
6343,66,5,5,2,7,4,1,n,2,4
6346,67,5,1,0,8,2,0,n,0,5
