,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6067,51,0,2,1,5,0,1,N,2,3
6094,68,2,3,2,5,8,0,N,0,4
6108,57,1,5,3,9,4,0,N,2,5
6129,52,5,4,5,10,1,0,N,1,5
6136,43,1,2,2,13,5,1,N,1,5
6150,65,4,2,0,8,2,1,N,1,5
6179,41,0,0,1,5,1,0,N,0,5
6188,70,3,1,1,5,3,0,N,1,1
6193,45,3,0,1,5,5,0,N,1,2
6208,44,3,3,1,6,2,2,N,0,6
6226,60,2,3,2,8,5,1,N,0,2
6236,61,1,2,1,11,2,1,N,1,7
6249,35,0,0,2,4,1,1,N,3,5
6275,57,4,5,2,7,3,0,N,2,7
6282,52,2,4,0,8,1,2,N,1,4
6303,50,1,2,3,9,2,0,N,0,5
6317,67,4,2,2,8,2,0,N,2,2
6331,58,0,4,2,11,0,1,N,1,8
6338,50,2,2,1,6,2,2,N,1,5
