,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6066,74,3,5,0,7,2,0,N,2,5
6081,68,2,4,4,5,5,0,N,0,2
6101,68,6,1,4,6,2,1,N,1,4
6129,72,3,3,5,6,6,0,N,0,3
6137,67,0,3,0,9,3,1,N,0,5
6150,78,7,6,6,5,8,3,N,0,1
6178,56,1,2,1,7,4,2,N,0,6
6189,66,5,3,0,13,3,2,N,1,6
6193,64,1,4,2,8,5,1,N,0,3
6207,60,1,1,3,6,4,3,N,0,7
6226,52,4,6,1,6,3,1,N,0,4
6241,74,3,3,4,5,8,2,N,0,5
6272,64,1,0,2,7,4,1,N,2,5
6283,55,1,2,1,4,5,6,N,2,8
6303,70,3,7,4,5,5,0,N,0,2
6322,63,3,5,2,3,3,0,N,1,5
6331,74,5,3,2,3,3,2,N,1,5
6338,72,3,3,4,7,7,0,N,2,2
6341,74,6,6,1,5,1,2,N,1,3
