,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6066,44,1,3,3,8,5,1,N,0,9
6094,54,2,2,0,5,4,2,N,1,1
6108,41,0,1,2,8,1,0,N,2,7
6130,67,1,4,0,6,1,0,N,0,7
6143,44,1,4,1,4,2,0,N,2,2
6165,45,0,3,1,5,0,0,N,1,6
6180,67,2,2,4,4,6,2,N,0,0
6189,39,3,0,3,9,4,0,N,0,4
6192,49,2,2,0,8,2,0,N,1,6
6207,57,0,1,2,6,0,0,N,2,7
6226,55,1,2,3,7,3,1,N,1,2
6236,63,2,2,2,6,2,0,N,1,8
6247,42,1,1,0,8,2,0,N,2,4
6283,61,1,2,2,3,4,0,N,3,4
6303,61,0,2,3,6,1,0,N,0,3
6312,31,0,3,2,11,0,2,N,1,6
6321,47,2,2,0,7,0,1,N,2,5
6325,33,1,5,1,5,2,1,N,0,4
6338,41,0,2,2,4,1,2,N,2,7
