,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6074,41,0,3,1,6,3,1,N,1,5
6096,35,0,1,3,6,1,0,N,2,8
6108,43,1,1,1,4,2,1,N,1,9
6115,55,0,2,0,7,4,1,N,3,3
6143,35,0,1,1,8,0,2,N,3,5
6164,39,1,3,2,3,2,1,N,3,5
6178,54,1,5,5,6,1,1,N,1,2
6189,30,0,1,0,7,1,1,N,1,10
6192,46,3,0,3,5,3,2,N,2,8
6207,28,4,0,1,4,2,2,N,5,4
6219,46,2,2,2,5,1,1,N,2,6
6236,33,1,0,2,11,2,2,N,1,4
6247,46,0,0,2,6,3,0,N,0,5
6269,33,1,3,2,5,3,1,N,1,7
6282,47,2,2,1,6,1,0,N,1,6
6304,29,3,0,1,6,2,2,N,4,8
6310,43,3,2,2,5,5,2,N,1,8
6324,39,2,6,1,6,1,1,N,4,3
6338,47,1,4,0,3,2,0,N,1,5
