,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6073,31,2,1,0,5,3,0,N,1,10
6081,38,2,5,3,4,4,0,N,0,5
6101,28,4,1,0,3,1,1,N,1,5
6129,23,2,1,0,2,0,0,N,5,7
6143,22,0,1,1,7,0,2,N,4,8
6166,41,5,3,0,5,1,1,N,0,2
6178,39,2,3,0,5,2,1,N,1,6
6189,39,1,4,2,4,0,2,N,2,3
6192,42,1,5,2,10,1,0,N,1,3
6207,45,2,0,2,2,2,0,N,4,5
6226,48,4,3,2,6,1,1,N,1,5
6240,38,3,6,2,6,2,1,N,1,3
6261,30,3,2,3,2,4,2,N,1,6
6268,44,0,2,2,8,3,0,N,1,4
6282,21,4,1,1,3,3,2,N,1,4
6303,33,2,3,0,4,2,1,N,0,6
6311,29,1,3,1,4,1,2,N,1,9
6324,50,2,3,2,5,3,0,N,0,6
6337,29,2,0,2,1,3,1,N,1,7
