,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6074,46,1,5,5,9,0,1,N,0,7
6094,52,3,6,2,6,2,0,N,1,5
6109,41,0,2,2,8,3,0,N,1,4
6115,41,0,6,3,6,2,3,N,1,4
6136,63,1,6,6,5,4,1,N,1,6
6150,58,1,3,0,5,2,2,N,1,7
6178,50,1,2,1,7,3,0,N,1,7
6189,71,5,7,2,5,4,0,N,0,2
6192,57,1,2,3,8,6,1,N,2,6
6207,37,1,4,1,11,2,0,N,1,3
6219,45,0,2,3,6,0,1,N,1,5
6237,28,1,1,1,8,0,2,N,0,4
6247,66,1,2,4,9,5,1,N,1,4
6270,49,0,1,2,3,3,1,N,1,6
6282,50,1,6,1,7,1,2,N,0,3
6303,51,3,2,1,6,1,0,N,1,5
6317,35,1,2,2,7,4,0,N,0,4
6330,31,2,3,0,3,2,1,N,3,7
6339,29,2,4,0,5,2,3,N,2,1
