,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6073,31,1,2,0,9,1,0,n,0,3
6095,39,3,4,1,10,2,1,n,4,7
6104,41,0,0,2,13,1,0,n,1,9
6114,37,1,3,0,9,2,0,n,4,8
6135,60,1,1,0,5,1,1,n,2,6
6151,49,0,1,0,10,0,1,n,0,7
6170,29,0,1,0,5,0,2,n,3,6
6191,38,0,0,1,11,2,0,n,1,1
6219,45,3,2,1,1,2,0,n,0,11
6253,49,1,1,1,15,2,2,n,2,2
6264,40,2,2,1,4,2,1,n,2,6
6272,43,1,0,0,10,2,1,n,1,7
6276,27,2,1,0,4,0,1,n,2,13
6304,38,1,1,5,11,4,4,n,1,7
6318,68,4,4,3,8,3,0,n,2,6
6322,42,1,2,0,9,0,4,n,4,9
6333,64,1,5,0,9,0,0,n,0,7
6345,49,5,3,1,10,0,1,n,1,6
