,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6073,25,4,1,1,5,1,0,n,4,5
6093,31,0,2,0,6,0,1,n,1,5
6106,60,1,6,0,11,1,1,n,4,7
6128,35,2,2,0,5,3,3,n,3,10
6144,43,3,2,1,7,1,0,n,1,7
6165,46,1,3,1,5,1,1,n,2,7
6178,31,2,0,0,7,0,0,n,1,7
6193,32,0,3,0,6,2,0,n,0,9
6220,40,1,1,0,7,1,0,n,2,6
6240,45,3,1,0,7,2,0,n,3,8
6254,31,0,1,0,7,1,1,n,0,4
6265,40,2,0,1,11,1,0,n,0,3
6268,45,2,2,0,9,0,2,n,3,8
6282,45,0,3,0,8,2,0,n,0,7
6299,38,2,2,0,11,0,1,n,2,7
6311,58,0,2,1,10,0,1,n,3,7
6320,49,1,4,1,5,1,3,n,4,8
6332,50,3,3,0,4,2,2,n,3,5
6344,50,2,0,1,7,1,0,n,5,5
