,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6075,46,3,0,0,9,0,3,n,3,11
6094,39,3,1,2,10,1,2,n,1,4
6105,43,1,1,0,3,3,1,n,0,2
6115,79,2,4,2,12,7,1,n,0,4
6137,58,2,2,1,11,1,3,n,0,5
6163,59,2,3,1,12,1,1,n,1,3
6179,64,1,2,0,6,2,0,n,0,6
6192,69,0,3,1,6,2,0,n,1,5
6219,40,0,2,0,12,0,0,n,4,5
6242,74,1,7,0,18,1,1,n,0,2
6256,54,3,1,1,17,2,1,n,2,4
6265,55,2,4,3,10,3,1,n,1,6
6274,68,3,2,0,12,3,0,n,1,2
6298,55,1,3,0,10,0,1,n,3,5
6301,54,0,0,1,10,1,2,n,1,4
6309,56,1,1,1,12,2,0,n,1,4
6321,55,0,2,0,10,0,0,n,1,9
6331,61,0,2,0,8,1,1,n,2,8
6345,69,1,3,2,14,6,1,n,1,7
