,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6074,58,4,5,1,13,3,0,n,0,7
6102,60,1,2,2,7,3,2,n,1,3
6108,41,6,5,6,6,2,0,n,2,9
6129,56,6,5,3,5,5,0,n,0,4
6143,58,2,2,1,n,0,3,n,0,4
6164,55,4,0,1,11,4,1,n,0,7
6178,45,4,2,1,12,3,1,n,1,6
6220,44,1,3,1,8,1,1,n,1,6
6247,60,3,3,0,9,1,1,n,4,4
6258,71,4,3,2,5,6,1,n,1,8
6262,45,2,2,3,8,1,2,n,2,3
6268,58,6,2,0,9,1,1,n,0,5
6282,53,3,1,0,12,1,3,n,1,6
6300,66,5,3,2,6,1,1,n,1,7
6310,71,1,3,1,8,1,1,n,0,4
6321,50,7,3,2,6,2,2,n,3,3
6331,53,5,2,0,6,0,1,n,0,5
6342,44,2,0,2,9,3,1,n,3,5
6346,51,4,4,2,4,2,4,n,2,6
