,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6080,60,1,1,0,12,0,1,n,0,6
6102,59,1,3,2,3,5,0,n,0,9
6108,45,0,2,0,9,1,2,n,0,5
6130,48,1,0,0,14,1,0,n,5,12
6142,63,1,4,0,11,2,2,n,2,3
6165,63,4,4,2,11,3,0,n,0,2
6180,59,2,5,1,9,3,1,n,1,2
6192,67,2,2,7,6,6,0,n,2,6
6221,63,2,4,1,8,5,1,n,0,5
6234,53,2,2,0,9,1,2,n,0,4
6246,65,1,2,2,8,3,2,n,1,8
6260,44,1,3,3,11,1,1,n,2,6
6267,53,3,1,1,4,2,1,n,2,5
6282,56,2,1,1,5,5,0,n,1,5
6299,65,1,3,2,10,3,0,n,4,6
6310,46,6,2,3,8,1,2,n,2,5
6321,56,2,4,1,4,3,0,n,0,7
6330,53,1,4,0,15,1,0,n,2,6
6346,43,5,2,0,5,3,0,n,0,8
