,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6081,32,3,0,1,10,2,1,N,1,11
6102,49,3,3,1,7,3,2,N,0,6
6108,38,3,4,2,6,3,0,N,0,6
6130,52,5,1,1,12,4,2,N,0,11
6144,65,2,2,2,6,4,3,N,2,2
6165,58,0,1,1,8,4,2,N,0,6
6179,55,1,3,0,15,2,2,N,0,5
6194,51,1,2,3,10,3,1,N,0,9
6213,60,3,2,1,7,3,1,N,1,6
6227,63,2,1,1,8,1,1,N,0,8
6234,70,1,2,1,8,2,3,N,1,5
6247,48,2,2,3,5,1,1,N,1,4
6262,58,3,3,0,8,0,0,N,0,7
6269,61,1,4,2,10,6,1,N,1,5
6282,47,1,2,3,9,2,3,N,2,9
6299,62,4,2,0,7,2,0,N,2,11
6309,44,4,4,4,4,9,1,N,0,11
6322,58,4,1,3,12,6,0,N,1,9
6339,56,4,2,1,7,3,1,N,0,7
