,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6074,61,2,5,4,5,8,3,N,0,4
6101,52,4,4,3,4,1,2,N,1,7
6109,57,0,4,1,11,4,2,N,1,5
6129,61,4,2,1,3,5,3,N,0,8
6143,64,5,3,0,3,4,0,N,1,4
6164,45,0,2,1,8,2,2,N,3,9
6178,69,1,0,2,7,4,2,N,2,5
6192,31,1,6,2,4,5,1,N,0,7
6219,55,1,2,0,8,3,1,N,3,6
6240,65,2,3,1,7,0,2,N,0,5
6248,43,2,3,1,7,0,0,N,2,4
6262,40,2,2,3,7,5,1,N,4,11
6269,40,4,4,2,4,2,2,N,0,8
6283,40,2,1,3,8,1,1,N,0,11
6299,35,5,5,3,7,0,0,N,1,10
6310,56,1,5,3,8,2,1,N,0,5
6320,46,7,3,0,7,2,2,N,0,7
6331,61,0,3,1,5,3,0,N,2,3
6346,38,2,0,0,5,0,1,N,0,6
