,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6072,45,2,4,0,11,1,2,N,2,8
6095,58,1,3,3,7,4,2,N,1,5
6106,55,2,1,1,9,4,0,N,0,9
6115,59,2,4,2,15,4,1,N,0,6
6145,39,3,5,2,9,3,1,N,1,8
6164,28,3,0,0,8,3,1,N,1,6
6180,41,4,1,2,3,5,2,N,2,7
6193,61,3,3,1,7,2,3,N,2,4
6219,45,1,4,2,1,6,3,N,1,4
6254,58,1,4,3,6,7,1,N,1,7
6266,45,2,5,2,3,4,0,N,2,6
6272,57,1,4,1,8,5,0,N,1,10
6276,29,3,0,1,7,1,4,N,1,5
6283,46,0,1,1,8,1,0,N,1,7
6300,51,2,1,0,5,1,1,N,1,6
6310,43,1,3,2,7,0,1,N,2,9
6321,50,4,4,3,5,2,1,N,4,5
6332,50,3,5,2,7,4,0,N,1,5
6345,31,4,0,1,8,0,0,N,1,14
