,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6073,70,0,2,0,6,6,0,N,1,5
6095,68,0,1,1,5,0,0,N,3,2
6105,60,1,1,3,5,3,2,N,1,5
6115,33,0,3,1,10,3,0,N,1,8
6136,53,0,5,2,4,1,0,N,1,5
6150,55,1,2,0,3,2,0,N,0,5
6178,41,2,2,0,12,1,1,N,1,10
6192,33,2,0,1,5,3,1,N,2,5
6220,61,1,1,0,12,2,1,N,1,3
6242,26,1,1,1,3,1,0,N,1,16
6253,51,5,0,0,5,1,1,N,1,14
6265,57,3,4,1,13,2,1,N,1,8
6275,51,1,1,1,11,3,0,N,0,6
6297,27,0,1,0,9,0,0,N,5,8
6304,50,2,6,0,5,1,0,N,1,4
6311,38,0,4,3,6,4,0,N,0,8
6320,43,0,0,0,7,1,0,N,4,9
6331,47,0,4,1,6,1,2,N,1,4
6344,50,6,0,0,3,2,0,N,0,7
