,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6081,52,3,1,0,7,1,3,N,0,3
6101,69,2,2,0,9,0,1,N,0,2
6108,59,3,1,0,9,0,1,N,5,4
6128,65,3,4,0,13,5,1,N,2,4
6144,77,3,1,4,11,3,0,N,2,5
6150,67,4,4,2,10,4,0,N,2,6
6173,68,1,3,0,17,3,1,N,0,5
6185,72,1,0,1,10,1,2,N,3,7
6212,68,6,4,0,8,4,3,N,0,1
6225,61,2,2,0,3,3,0,N,0,9
6235,61,1,2,2,10,3,2,N,0,8
6248,48,4,3,1,11,1,0,N,1,8
6260,56,2,1,5,7,4,1,N,1,10
6269,76,4,5,1,14,2,1,N,0,5
6281,67,7,1,1,6,3,0,N,1,7
6304,62,2,2,1,12,2,1,N,1,9
6318,67,1,6,1,8,3,1,N,1,6
6324,46,2,1,4,6,3,0,N,2,4
6339,39,2,1,0,13,1,1,N,0,5
