,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6080,40,0,2,0,7,4,2,N,0,9
6102,41,0,2,1,12,1,0,N,2,11
6106,40,4,2,1,10,3,1,N,0,10
6115,21,2,0,1,4,1,4,N,2,9
6135,40,2,4,1,8,5,0,N,0,6
6150,34,2,3,1,5,1,0,N,2,11
6172,38,1,1,2,4,5,0,N,2,5
6185,20,0,0,2,5,1,0,N,2,12
6214,44,1,4,3,8,2,1,N,0,12
6227,38,4,3,1,8,2,1,N,2,6
6232,41,0,2,2,11,2,2,N,4,6
6247,40,5,1,1,4,2,3,N,2,6
6265,42,2,4,3,6,5,2,N,1,5
6277,40,0,1,0,9,3,2,N,4,5
6296,43,4,0,0,5,4,1,N,1,8
6304,50,2,2,0,11,0,1,N,0,4
6317,40,0,1,0,8,1,1,N,1,14
6325,42,1,4,0,7,1,0,N,1,4
6338,37,5,4,4,5,4,0,N,1,6
