,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6073,51,1,2,n,9,1,1,n,0,7
6094,52,2,2,1,n,2,1,n,2,4
6105,52,2,4,3,n,4,0,n,3,2
6115,28,1,1,0,n,1,1,n,1,3
6130,43,0,5,0,n,2,2,n,2,4
6144,38,1,2,0,n,0,1,n,1,3
6165,46,1,2,0,n,1,0,n,0,7
6175,48,0,2,1,n,0,3,n,3,4
6192,69,2,3,2,n,1,3,n,0,4
6219,60,1,4,0,n,2,3,n,1,6
6233,50,1,1,0,7,2,0,n,0,4
6243,54,2,4,1,5,1,0,n,0,5
6261,46,4,2,1,5,1,0,n,0,6
6275,38,0,4,0,6,2,0,n,3,4
6297,35,3,3,1,11,3,0,n,1,6
6311,52,1,3,2,9,2,0,n,0,6
6325,50,1,4,3,5,5,0,n,3,8
6330,43,3,1,3,7,4,2,n,0,4
6345,58,2,1,0,7,0,0,n,0,6
