,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6065,34,4,2,n,7,2,0,n,0,5
6080,43,3,2,1,n,2,1,n,0,4
6101,39,1,2,0,n,0,2,n,1,5
6108,38,3,0,0,n,0,0,n,1,10
6114,41,1,2,2,n,1,1,n,0,7
6136,31,1,1,0,n,3,1,n,2,13
6150,56,1,1,1,n,0,0,n,3,10
6171,53,1,2,0,n,1,0,n,0,8
6186,52,2,2,0,n,0,1,n,1,9
6196,58,0,0,0,n,1,1,n,0,4
6219,47,2,3,0,n,2,2,n,1,6
6234,37,1,2,0,11,0,0,n,1,7
6244,37,0,2,0,10,0,2,n,1,3
6255,50,3,5,1,10,3,3,n,0,6
6268,40,2,0,0,6,3,1,n,0,4
6282,51,1,4,3,9,1,1,n,0,2
6304,29,1,3,3,8,3,0,n,2,6
6317,57,3,0,2,8,3,3,n,2,6
6339,37,0,0,0,6,4,3,n,0,8
