,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6066,53,2,1,n,5,4,2,n,3,10
6093,36,1,2,1,n,1,0,n,2,4
6105,49,0,3,0,n,0,0,n,3,7
6116,39,2,2,1,n,2,0,n,1,6
6137,65,2,0,0,n,0,1,n,0,7
6151,56,1,4,1,n,0,0,n,0,8
6172,59,2,1,0,n,2,0,n,2,4
6179,39,0,0,1,n,2,3,n,0,3
6192,36,0,2,1,n,1,2,n,2,5
6218,38,1,0,1,n,2,1,n,3,9
6234,44,3,2,5,5,1,3,n,3,14
6244,25,1,4,1,4,2,0,n,3,9
6255,42,3,1,0,5,4,1,n,1,9
6268,61,1,2,2,5,2,4,n,1,9
6283,51,2,4,3,9,3,1,n,0,3
6311,39,1,1,2,8,2,3,n,0,9
6324,51,0,0,0,8,1,0,n,2,7
6342,33,2,1,0,2,2,0,n,1,6
6345,55,1,2,1,5,5,1,n,2,6
