,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6066,50,1,1,N,0,1,1,N,1,3
6080,27,2,2,0,N,0,1,N,5,7
6101,53,1,2,2,N,5,1,N,3,8
6108,46,2,2,1,N,3,0,N,3,4
6115,53,3,0,0,N,2,0,N,1,2
6136,58,0,1,0,N,1,3,N,5,2
6150,44,6,2,1,N,4,0,N,0,8
6174,50,0,1,3,N,2,3,N,2,5
6185,48,3,3,0,N,2,2,N,4,8
6196,51,2,4,0,N,2,5,N,2,5
6226,56,1,4,0,N,2,1,N,2,10
6240,27,1,1,2,4,0,1,N,2,6
6247,57,2,0,1,7,2,0,N,1,9
6268,30,0,2,0,5,2,1,N,2,10
6283,49,0,4,5,4,1,1,N,2,8
6303,63,4,2,1,8,4,1,N,0,5
6317,41,5,2,1,3,1,1,N,2,5
6325,50,3,2,0,8,2,0,N,1,5
6339,56,1,5,5,7,3,0,N,1,7
