,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6080,28,3,2,2,n,1,1,n,2,13
6102,49,3,3,0,n,3,0,n,0,3
6105,54,0,2,1,n,6,1,n,2,8
6116,42,1,1,1,n,0,0,n,2,3
6137,43,0,1,2,n,2,1,n,2,8
6151,51,1,3,0,n,1,1,n,0,3
6172,37,1,1,1,n,2,1,n,1,10
6186,41,1,3,2,n,0,1,n,1,4
6195,49,3,3,1,n,4,4,n,0,7
6240,44,1,4,4,n,2,0,n,0,3
6261,45,4,1,3,n,5,3,n,2,5
6275,50,4,1,0,n,7,0,n,1,8
6297,51,0,1,0,n,0,2,n,2,14
6303,54,0,2,1,n,3,2,n,1,6
6317,35,4,2,3,n,2,2,n,2,2
6332,52,5,1,1,n,2,1,n,1,7
6345,49,0,2,2,n,1,1,n,0,11
