,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6094,63,0,4,1,n,4,1,n,1,7
6104,49,4,0,0,n,2,2,n,4,6
6115,67,2,1,1,n,3,1,n,1,1
6136,64,3,5,3,n,1,0,n,4,7
6150,62,4,1,0,n,2,3,n,1,9
6171,64,3,2,2,n,3,3,n,2,4
6185,70,1,3,0,n,0,1,n,0,7
6191,57,1,3,5,n,2,1,n,1,11
6226,54,4,2,4,n,3,2,n,3,7
6234,62,2,3,3,n,3,2,n,0,4
6247,56,3,3,1,n,6,0,n,2,10
6261,62,7,4,3,n,2,1,n,0,6
6275,60,0,4,3,n,5,1,n,1,7
6296,59,1,2,2,n,3,1,n,0,9
6303,40,1,3,1,n,2,0,n,2,5
6317,52,2,2,2,n,2,2,n,0,6
6338,74,2,2,2,n,0,0,n,2,3
