,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6095,49,1,2,2,n,0,1,n,0,14
6105,33,1,1,1,n,2,2,n,2,5
6114,44,1,1,2,n,1,0,n,3,5
6136,43,3,1,0,n,0,2,n,2,3
6150,55,2,6,0,n,3,0,n,3,6
6171,39,2,1,2,n,2,1,n,2,9
6185,53,1,3,1,n,2,1,n,2,8
6195,34,2,1,3,n,1,3,n,4,9
6233,39,4,2,0,n,3,1,n,2,8
6246,47,4,1,1,n,1,0,n,1,9
6261,44,0,3,1,n,0,1,n,0,12
6276,38,2,3,2,n,3,1,n,1,4
6296,28,2,0,0,n,0,0,n,1,6
6304,41,0,0,0,n,0,2,n,3,11
6317,28,2,1,1,n,1,1,n,3,5
6331,38,2,1,2,n,2,0,n,2,7
6345,33,0,2,2,n,3,1,n,4,2
