,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6080,53,6,1,1,N,1,1,N,3,6
6101,59,7,2,0,N,6,1,N,0,5
6108,59,3,1,0,N,0,2,N,1,10
6129,68,1,4,0,N,3,1,N,0,4
6142,60,0,2,2,N,2,2,N,0,8
6164,62,4,5,1,N,5,0,N,0,2
6171,46,4,1,1,N,1,3,N,1,3
6186,59,1,1,1,N,0,0,N,1,8
6195,56,0,2,4,N,3,0,N,1,11
6240,53,0,3,3,N,2,0,N,1,4
6255,55,1,3,0,N,2,4,N,2,5
6268,38,1,6,0,N,0,2,N,0,2
6283,31,0,2,2,N,2,2,N,4,0
6300,55,2,4,2,N,3,0,N,1,6
6317,48,1,2,0,N,0,4,N,1,2
6331,62,2,3,3,N,2,3,N,2,1
6345,62,6,2,2,N,3,0,N,1,3
