,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6080,51,2,3,0,N,4,0,N,1,5
6101,41,2,2,0,N,0,2,N,0,7
6108,57,3,1,1,N,3,1,N,0,4
6129,41,3,4,1,N,2,2,N,0,12
6150,53,1,1,4,N,3,0,N,0,12
6171,36,2,1,0,N,2,2,N,3,9
6184,42,3,3,2,N,5,1,N,0,14
6195,51,1,2,0,N,1,0,N,3,7
6241,63,1,3,2,N,2,1,N,0,3
6254,52,1,2,1,N,2,2,N,4,6
6269,37,2,2,1,N,5,2,N,0,6
6282,56,0,2,0,N,1,2,N,0,11
6296,58,1,5,3,N,5,1,N,1,7
6302,56,4,4,0,N,2,0,N,1,7
6317,72,3,3,1,N,4,1,N,1,3
6331,51,0,1,0,N,1,1,N,0,4
6345,41,0,7,1,N,3,0,N,1,5
