,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6080,48,0,2,1,N,0,0,N,1,6
6102,51,0,3,1,N,0,2,N,2,7
6108,59,3,4,1,N,2,0,N,0,4
6129,53,1,0,1,N,3,0,N,0,8
6143,27,2,0,0,N,1,0,N,1,6
6164,46,1,2,1,N,3,2,N,1,5
6179,40,2,2,0,N,1,2,N,2,9
6192,43,0,3,0,N,0,0,N,2,9
6226,45,1,2,1,N,1,0,N,1,8
6241,41,3,2,0,N,0,0,N,2,6
6253,46,1,4,1,N,1,1,N,4,6
6267,42,1,3,0,N,0,2,N,0,8
6282,51,3,6,2,N,3,0,N,1,7
6300,53,2,2,0,N,1,4,N,1,9
6310,37,6,1,0,N,2,0,N,0,9
6325,57,5,2,1,N,1,1,N,1,2
6338,26,3,1,0,N,1,1,N,1,7
