,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6080,50,1,3,1,N,0,1,N,2,9
6101,57,2,4,4,N,5,1,N,1,8
6108,37,1,1,0,N,2,1,N,1,7
6135,51,0,0,0,N,0,2,N,0,10
6150,38,1,4,0,N,3,2,N,1,6
6171,50,4,5,2,N,3,1,N,1,6
6185,47,2,3,1,N,3,1,N,1,6
6195,49,2,0,2,N,3,1,N,0,5
6239,44,1,3,0,N,1,4,N,0,9
6254,49,2,0,1,N,3,2,N,1,4
6269,49,1,2,3,N,5,2,N,0,7
6276,46,2,4,1,N,2,2,N,2,4
6296,48,2,4,1,N,3,1,N,0,6
6303,45,3,2,0,N,3,2,N,1,9
6317,55,3,2,1,N,4,0,N,1,9
6332,48,1,0,2,N,3,2,N,5,7
6345,50,1,1,0,N,2,1,N,2,6
