,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6094,37,1,2,0,N,2,2,N,0,10
6105,44,2,3,1,N,4,2,N,0,4
6114,56,4,1,3,N,3,1,N,0,8
6137,62,2,4,2,N,3,1,N,0,10
6151,49,3,3,4,N,2,0,N,1,2
6178,49,3,2,2,N,1,2,N,2,5
6192,67,5,3,0,N,2,0,N,0,7
6226,65,6,3,1,N,0,2,N,3,3
6233,55,2,2,3,N,6,1,N,1,9
6247,62,0,8,2,N,2,1,N,1,2
6261,53,3,6,0,N,1,1,N,0,6
6275,57,1,1,0,N,2,2,N,2,9
6296,56,4,3,6,N,5,3,N,0,7
6303,54,3,3,2,N,4,1,N,0,4
6310,62,3,2,3,N,5,0,N,1,6
6324,65,2,2,0,N,0,1,N,0,6
6338,45,4,3,2,N,2,2,N,2,8
