,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6094,58,2,4,3,N,5,0,N,4,5
6104,51,4,3,0,N,0,3,N,2,9
6116,58,2,3,2,N,5,3,N,1,6
6130,55,1,4,3,N,5,2,N,3,8
6143,53,1,3,0,N,1,0,N,4,5
6164,44,0,4,1,N,3,1,N,0,7
6178,39,3,0,0,N,0,0,N,3,8
6192,44,2,3,3,N,3,2,N,0,7
6226,66,0,3,1,N,1,0,N,0,7
6233,61,3,0,1,N,1,0,N,3,5
6248,46,1,2,1,N,1,2,N,1,8
6260,63,5,11,2,N,3,1,N,1,4
6282,60,1,7,2,N,5,0,N,0,5
6300,63,3,7,1,N,4,1,N,1,4
6310,53,3,1,0,N,1,1,N,1,11
6324,42,2,3,0,N,2,2,N,2,5
6338,43,1,1,3,N,0,1,N,2,6
6350,59,4,5,N,N,1,1,N,2,8
