,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6074,29,1,0,0,8,0,1,n,1,6
6095,57,2,4,0,5,4,1,n,3,6
6105,35,0,0,0,8,0,1,n,7,6
6130,31,0,1,1,4,3,0,n,1,4
6140,44,3,3,1,4,5,0,n,4,2
6150,46,4,1,0,10,0,2,n,2,6
6164,48,0,4,0,13,3,0,n,1,9
6179,45,2,2,2,10,2,1,n,0,8
6192,59,1,2,2,15,1,4,n,0,7
6213,49,1,1,1,6,3,0,n,1,6
6227,41,0,1,1,4,0,0,n,2,7
6241,47,0,1,0,10,1,1,n,0,11
6255,34,2,1,1,11,2,4,n,0,11
6262,47,1,1,1,9,0,1,n,0,4
6276,37,4,2,1,6,1,0,n,6,3
6297,51,3,2,1,7,1,0,n,3,10
6318,57,0,3,3,6,1,2,n,3,8
6331,27,2,1,2,4,1,0,n,2,3
6346,49,3,3,1,5,8,0,n,1,10
