,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6081,38,0,1,0,5,1,2,n,2,11
6102,59,2,5,0,7,0,0,n,1,11
6108,40,0,1,2,5,1,0,n,2,10
6115,40,2,6,4,6,4,0,n,2,8
6137,47,2,1,2,10,1,3,n,1,15
6144,54,1,2,5,9,4,1,n,1,11
6171,47,1,3,0,7,0,0,n,0,4
6186,37,2,2,1,3,1,5,n,1,6
6197,29,2,2,0,8,0,1,n,4,9
6219,32,1,1,0,4,1,0,n,6,8
6233,40,1,0,1,8,1,0,n,5,3
6248,69,2,4,0,6,1,3,n,2,5
6268,49,2,3,0,6,3,1,n,1,6
6283,55,4,4,0,10,2,0,n,1,6
6303,44,0,0,2,3,1,0,n,3,7
6310,46,2,2,4,14,2,1,n,4,10
6325,43,0,1,1,4,1,0,n,0,9
6339,39,0,2,1,6,0,3,n,2,6
6352,36,1,1,1,8,2,1,n,2,6
