,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6074,51,0,2,1,8,1,1,n,2,8
6096,45,1,0,1,7,0,3,n,3,11
6105,30,1,1,2,5,1,2,n,1,5
6116,41,2,6,1,7,5,4,n,6,7
6130,33,1,0,3,5,1,2,n,4,9
6140,25,2,0,0,7,1,2,n,5,9
6151,26,0,1,1,8,0,1,n,3,3
6179,26,4,2,0,8,2,1,n,1,8
6193,42,3,3,1,6,3,2,n,1,8
6213,29,1,0,1,9,0,0,n,3,6
6227,38,2,2,1,12,5,1,n,0,3
6241,34,0,1,1,6,0,2,n,2,8
6254,40,0,1,0,5,2,1,n,0,12
6276,17,0,1,0,7,0,0,n,2,5
6297,47,3,3,2,4,4,1,n,2,5
6310,24,0,3,1,5,2,0,n,4,9
6318,36,4,1,1,5,5,1,n,1,7
6332,41,2,0,2,8,5,1,n,2,9
6346,26,0,2,3,5,1,1,n,2,5
