,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6081,59,3,4,0,10,3,0,n,0,7
6102,53,0,3,0,6,2,2,n,0,8
6116,42,0,2,1,6,3,1,n,1,15
6136,55,3,2,1,8,3,1,n,4,8
6144,63,0,2,1,9,3,1,n,4,8
6165,44,1,3,0,7,1,2,n,1,8
6180,47,0,3,0,6,2,0,n,1,9
6186,47,2,1,1,9,2,0,n,0,10
6197,46,2,4,4,14,9,0,n,2,6
6220,56,1,3,1,4,5,0,n,2,4
6234,30,0,1,0,4,0,3,n,2,11
6246,44,1,1,1,2,3,0,n,2,5
6255,61,0,2,1,10,1,0,n,0,9
6269,33,2,2,1,3,1,1,n,1,15
6282,35,2,1,3,5,1,0,n,1,8
6304,59,0,3,1,5,2,2,n,1,8
6318,43,1,2,1,5,1,0,n,0,7
6339,61,0,2,2,9,2,3,n,0,10
6353,34,1,6,0,8,0,1,n,3,5
