,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6074,71,2,2,2,8,4,0,n,0,8
6095,64,3,2,3,4,8,0,n,1,7
6105,54,3,4,3,6,2,2,n,2,8
6116,62,3,5,2,6,8,0,n,4,6
6137,43,0,1,0,10,0,0,n,2,4
6144,50,2,3,1,8,4,4,n,1,5
6165,63,2,7,1,12,5,0,n,2,7
6177,42,4,2,4,5,3,1,n,5,4
6193,62,2,5,4,5,5,1,n,2,6
6213,67,2,0,1,8,4,4,n,2,8
6227,62,3,4,2,9,6,3,n,0,8
6241,52,2,3,1,5,5,1,n,2,7
6255,56,1,1,3,5,3,1,n,0,6
6269,57,3,5,3,6,4,1,n,3,7
6282,50,1,5,2,9,3,1,n,1,4
6304,69,1,1,0,9,1,1,n,3,9
6317,39,3,2,0,6,6,1,n,2,5
6332,59,2,3,2,9,1,2,n,1,12
6346,49,2,1,0,8,4,1,n,0,5
