,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6074,66,4,3,5,6,2,1,n,1,10
6094,30,3,1,1,6,2,0,n,2,5
6105,52,1,1,3,9,4,2,n,0,7
6116,38,2,0,0,2,1,1,n,0,5
6137,44,0,1,0,8,2,1,n,1,3
6144,42,4,3,0,9,2,1,n,3,7
6165,40,0,3,0,8,0,1,n,2,7
6173,31,0,1,1,10,1,2,n,1,7
6187,45,2,4,5,11,3,2,n,0,5
6197,41,3,4,2,8,1,0,n,2,9
6227,54,2,5,3,8,4,0,n,2,11
6241,51,2,1,0,8,5,0,n,1,3
6255,58,0,3,2,4,4,3,n,1,5
6269,55,1,0,0,7,3,1,n,0,3
6283,40,4,1,2,5,5,2,n,2,7
6303,42,2,0,1,8,2,0,n,2,5
6325,47,5,3,0,7,3,1,n,3,5
6339,45,1,3,2,10,2,0,n,3,4
6353,54,3,4,4,13,6,2,n,1,1
