,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6073,71,3,5,2,8,6,2,N,1,6
6095,54,1,3,3,6,3,4,N,4,4
6105,70,3,4,2,7,7,1,N,1,4
6116,38,5,6,1,6,2,1,N,3,5
6137,58,4,3,4,9,4,0,N,0,9
6151,51,2,6,1,4,0,0,N,3,9
6172,65,4,2,3,9,3,0,N,3,9
6187,52,2,3,1,10,4,2,N,1,4
6197,71,5,7,1,10,5,1,N,1,7
6227,59,2,3,3,7,3,1,N,0,3
6243,57,3,5,4,9,3,2,N,1,8
6255,40,4,5,1,7,2,0,N,0,7
6268,54,1,2,1,11,0,1,N,0,6
6283,60,4,5,1,9,1,3,N,3,2
6296,48,3,5,2,3,6,0,N,1,11
6310,66,3,3,1,12,5,1,N,0,5
6325,63,4,0,2,4,6,0,N,2,3
6339,46,5,4,2,2,4,1,N,3,2
6353,66,4,6,4,6,1,3,N,0,5
