,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6081,41,1,4,0,7,0,1,N,3,9
6102,25,1,2,0,10,1,0,N,1,10
6110,53,0,2,0,9,0,0,N,4,5
6137,36,1,1,2,5,1,1,N,2,5
6144,46,2,1,0,11,1,1,N,1,8
6165,23,3,1,3,2,2,2,N,1,4
6172,36,3,1,0,7,1,4,N,1,10
6185,33,2,2,1,6,1,0,N,2,7
6219,49,4,5,1,8,2,2,N,2,7
6234,42,1,2,2,4,4,1,N,1,8
6244,20,0,1,1,7,0,1,N,6,7
6248,32,2,2,0,9,2,4,N,0,8
6262,53,1,0,3,5,2,3,N,0,6
6269,45,0,6,1,4,4,0,N,1,7
6283,23,0,3,3,11,2,1,N,5,9
6304,31,5,4,1,9,1,3,N,1,7
6325,35,2,3,3,9,3,3,N,2,9
6339,37,5,1,1,4,1,1,N,2,8
6353,31,3,2,0,8,0,0,N,1,8
