,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6081,62,3,3,1,13,4,0,N,0,5
6102,44,0,2,2,6,2,0,N,1,7
6109,57,0,7,1,8,3,1,N,0,5
6130,58,3,2,2,10,2,1,N,2,8
6140,75,5,3,3,12,6,2,N,1,6
6151,54,3,4,5,6,7,5,N,1,8
6179,64,4,4,3,10,3,1,N,0,8
6187,55,2,2,2,7,0,1,N,2,11
6197,43,0,3,1,6,2,4,N,3,9
6220,61,3,3,2,14,2,0,N,1,14
6234,70,3,3,1,14,1,1,N,0,4
6247,60,3,1,1,10,3,1,N,1,7
6263,55,5,8,1,7,4,0,N,1,7
6276,63,6,4,5,3,4,1,N,4,5
6297,68,2,5,5,7,5,5,N,0,5
6310,63,4,5,1,9,3,0,N,1,8
6317,61,3,1,1,6,3,1,N,1,5
6338,49,2,3,0,6,0,1,N,1,9
6353,60,1,4,5,6,2,0,N,3,10
