,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6074,48,3,2,3,4,3,1,N,0,4
6095,36,1,3,1,6,0,1,N,3,3
6105,58,2,2,0,9,0,0,N,1,6
6115,60,2,2,1,8,4,1,N,2,5
6129,37,5,3,0,5,5,2,N,3,5
6140,41,0,1,0,13,0,0,N,1,9
6151,55,4,4,5,8,3,0,N,0,9
6179,55,0,4,5,9,2,2,N,1,8
6193,34,0,1,1,11,0,3,N,2,6
6227,46,2,7,3,12,1,3,N,1,5
6237,22,2,0,0,8,1,0,N,3,8
6241,36,5,2,2,8,1,3,N,2,3
6255,39,3,1,0,9,2,2,N,0,8
6276,52,2,0,3,9,0,4,N,1,6
6297,33,1,1,0,5,1,0,N,2,12
6310,32,1,1,2,3,0,0,N,4,10
6319,33,2,0,4,8,4,1,N,2,6
6332,59,2,3,1,10,3,1,N,2,6
6347,57,2,3,1,8,0,1,N,1,9
