,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
6081,53,2,4,0,10,0,2,N,0,6
6100,50,2,4,3,12,3,0,N,0,3
6116,50,3,3,3,10,4,1,N,1,3
6136,45,5,3,0,8,3,0,N,2,8
6144,50,2,5,1,9,3,1,N,2,7
6165,60,2,5,3,8,3,2,N,0,6
6179,51,0,5,0,13,3,1,N,1,6
6185,59,2,0,0,9,1,0,N,3,4
6197,60,0,3,3,6,5,1,N,3,5
6220,51,0,3,5,5,2,2,N,1,5
6234,48,4,6,3,9,5,1,N,4,10
6248,61,1,4,2,12,2,1,N,0,7
6255,66,1,4,1,15,1,0,N,1,11
6268,59,3,4,2,11,2,1,N,1,8
6283,40,2,2,0,6,1,1,N,5,3
6304,51,2,4,1,9,1,2,N,1,10
6318,64,2,2,0,8,0,2,N,4,3
6339,61,3,1,2,9,3,0,N,0,6
6353,31,0,2,2,7,0,1,N,3,7
