,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Burnley_5401,49.0,3.0,17.0,3.0,10.0,5.0,0.0,38.0,13.0,3.0,4.0,21.0,10.0,36.0,364.0,70.0
Burnley_5409,46.0,7.5,15.5,3.0,8.0,5.0,2.0,34.0,13.5,3.0,4.5,26.5,9.5,30.0,359.5,71.5
Burnley_5422,47.0,10.666666666666666,15.0,3.0,6.333333333333333,5.666666666666667,3.3333333333333335,43.0,16.333333333333332,2.3333333333333335,5.666666666666667,24.0,8.666666666666666,29.666666666666668,350.6666666666667,71.66666666666667
Burnley_5443,47.75,10.0,14.0,3.25,5.75,4.5,3.25,41.0,16.25,3.25,5.0,24.0,8.25,30.5,371.0,72.75
Burnley_5446,47.2,10.4,13.6,3.0,6.0,4.0,3.0,43.6,18.6,3.2,4.6,24.2,7.0,31.4,361.4,71.2
Burnley_5457,46.166666666666664,11.166666666666666,12.5,2.8333333333333335,5.5,3.6666666666666665,2.6666666666666665,43.5,19.0,3.3333333333333335,4.166666666666667,23.166666666666668,7.333333333333333,32.833333333333336,355.3333333333333,70.33333333333333
Burnley_5470,46.714285714285715,10.571428571428571,13.0,2.4285714285714284,6.428571428571429,4.285714285714286,2.2857142857142856,45.142857142857146,20.571428571428573,3.142857142857143,4.142857142857143,23.285714285714285,7.428571428571429,33.285714285714285,369.57142857142856,70.71428571428571
Burnley_5485,46.375,11.0,13.625,3.0,6.25,5.0,2.25,44.0,21.25,3.5,4.375,23.0,7.125,32.25,362.25,69.75
Burnley_5492,46.77777777777778,10.88888888888889,12.88888888888889,3.111111111111111,5.666666666666667,5.0,2.111111111111111,46.0,22.0,3.2222222222222223,4.111111111111111,23.666666666666668,6.888888888888889,31.444444444444443,363.1111111111111,68.77777777777777
Burnley_5514,47.3,10.8,12.8,3.3,5.3,5.0,1.9,46.5,21.9,3.2,4.2,23.5,7.0,31.0,372.5,69.8
Burnley_5534,47.45454545454545,11.090909090909092,12.818181818181818,3.5454545454545454,5.2727272727272725,5.090909090909091,1.9,46.45454545454545,22.363636363636363,3.090909090909091,4.0,23.636363636363637,6.818181818181818,31.09090909090909,370.3636363636364,69.63636363636364
Burnley_5548,46.5,10.666666666666666,12.583333333333334,3.5833333333333335,5.25,4.833333333333333,1.9083333333333332,47.916666666666664,23.25,3.25,3.75,24.25,6.833333333333333,30.333333333333332,363.75,69.25
